agent,CRPS,NLL,IntervalScore,CalibrationError,KuleshovCalibration,ENCE,CalibrationError1Std,ConformalCoverage,PITUniformity,IntervalCoverage,VarianceAlignment,VarErrCorrelation,UncertaintyEvolution,UncertaintyAnomaly,MahalanobisOOD
CRPS,1.000000,0.269221,0.901176,0.255544,0.255544,0.259844,0.235346,0.250886,0.164337,0.238196,-0.011561,-0.148130,-0.117805,0.059727,0.080302
NLL,0.269221,1.000000,0.390395,0.215251,0.215251,0.702286,0.184850,0.405864,0.052376,0.185772,-0.013372,0.401262,0.010383,0.001195,0.005103
IntervalScore,0.901176,0.390395,1.000000,0.231104,0.231104,0.415888,0.202278,0.367726,0.131190,0.204398,0.048087,0.044763,-0.076538,0.034769,0.060966
CalibrationError,0.255544,0.215251,0.231104,1.000000,1.000000,0.283982,0.829734,0.156797,0.350103,0.832198,-0.160577,0.103134,0.067012,0.012369,-0.025237
KuleshovCalibration,0.255544,0.215251,0.231104,1.000000,1.000000,0.283982,0.829734,0.156797,0.350103,0.832198,-0.160577,0.103134,0.067012,0.012369,-0.025237
ENCE,0.259844,0.702286,0.415888,0.283982,0.283982,1.000000,0.246529,0.361830,0.073982,0.247612,-0.006239,0.406688,0.032381,0.003826,0.001326
CalibrationError1Std,0.235346,0.184850,0.202278,0.829734,0.829734,0.246529,1.000000,0.136254,0.312277,0.998843,-0.133788,0.137679,0.059195,0.016962,-0.023943
ConformalCoverage,0.250886,0.405864,0.367726,0.156797,0.156797,0.361830,0.136254,1.000000,0.063475,0.138270,-0.020894,0.237217,0.012613,0.004167,0.000242
PITUniformity,0.164337,0.052376,0.131190,0.350103,0.350103,0.073982,0.312277,0.063475,1.000000,0.313696,-0.088275,-0.015495,0.017381,0.005935,-0.011027
IntervalCoverage,0.238196,0.185772,0.204398,0.832198,0.832198,0.247612,0.998843,0.138270,0.313696,1.000000,-0.136979,0.138634,0.059180,0.017246,-0.024231
VarianceAlignment,-0.011561,-0.013372,0.048087,-0.160577,-0.160577,-0.006239,-0.133788,-0.020894,-0.088275,-0.136979,1.000000,0.020495,-0.085901,0.101055,0.043459
VarErrCorrelation,-0.148130,0.401262,0.044763,0.103134,0.103134,0.406688,0.137679,0.237217,-0.015495,0.138634,0.020495,1.000000,0.079533,-0.022065,-0.041085
UncertaintyEvolution,-0.117805,0.010383,-0.076538,0.067012,0.067012,0.032381,0.059195,0.012613,0.017381,0.059180,-0.085901,0.079533,1.000000,-0.040665,-0.017574
UncertaintyAnomaly,0.059727,0.001195,0.034769,0.012369,0.012369,0.003826,0.016962,0.004167,0.005935,0.017246,0.101055,-0.022065,-0.040665,1.000000,0.014354
MahalanobisOOD,0.080302,0.005103,0.060966,-0.025237,-0.025237,0.001326,-0.023943,0.000242,-0.011027,-0.024231,0.043459,-0.041085,-0.017574,0.014354,1.000000
