agent,CRPS,NLL,IntervalScore,CalibrationError,KuleshovCalibration,ENCE,CalibrationError1Std,ConformalCoverage,PITUniformity,IntervalCoverage,VarianceAlignment,VarErrCorrelation,UncertaintyEvolution,UncertaintyAnomaly,MahalanobisOOD
CRPS,1.000000,0.312414,0.904509,-0.100465,-0.100465,0.200254,-0.123416,0.378308,0.014916,-0.115668,-0.245940,-0.224190,-0.177670,0.096245,0.081170
NLL,0.312414,1.000000,0.355274,0.098579,0.098579,0.483103,0.053847,0.390274,0.021548,0.057790,-0.054841,0.171528,-0.050283,0.008817,0.019884
IntervalScore,0.904509,0.355274,1.000000,-0.078864,-0.078864,0.291286,-0.085827,0.488829,0.015843,-0.080096,-0.119268,-0.114783,-0.134046,0.054671,0.066622
CalibrationError,-0.100465,0.098579,-0.078864,1.000000,1.000000,0.144752,0.677710,-0.027017,0.222025,0.680792,0.135315,0.085299,0.010752,-0.005908,-0.007862
KuleshovCalibration,-0.100465,0.098579,-0.078864,1.000000,1.000000,0.144752,0.677710,-0.027017,0.222025,0.680792,0.135315,0.085299,0.010752,-0.005908,-0.007862
ENCE,0.200254,0.483103,0.291286,0.144752,0.144752,1.000000,0.102263,0.297514,0.023230,0.105222,0.004558,0.161462,-0.010966,0.000630,0.007470
CalibrationError1Std,-0.123416,0.053847,-0.085827,0.677710,0.677710,0.102263,1.000000,-0.044262,0.126974,0.995608,0.145653,0.081768,0.008873,-0.006821,-0.005213
ConformalCoverage,0.378308,0.390274,0.488829,-0.027017,-0.027017,0.297514,-0.044262,1.000000,0.017373,-0.037746,-0.090816,0.057475,-0.028329,0.004134,0.002230
PITUniformity,0.014916,0.021548,0.015843,0.222025,0.222025,0.023230,0.126974,0.017373,1.000000,0.130437,0.015145,-0.036996,0.018337,-0.002531,-0.003131
IntervalCoverage,-0.115668,0.057790,-0.080096,0.680792,0.680792,0.105222,0.995608,-0.037746,0.130437,1.000000,0.142089,0.082523,0.008944,-0.006200,-0.006497
VarianceAlignment,-0.245940,-0.054841,-0.119268,0.135315,0.135315,0.004558,0.145653,-0.090816,0.015145,0.142089,1.000000,0.156753,-0.005513,0.063460,0.007011
VarErrCorrelation,-0.224190,0.171528,-0.114783,0.085299,0.085299,0.161462,0.081768,0.057475,-0.036996,0.082523,0.156753,1.000000,0.010540,-0.040975,-0.030990
UncertaintyEvolution,-0.177670,-0.050283,-0.134046,0.010752,0.010752,-0.010966,0.008873,-0.028329,0.018337,0.008944,-0.005513,0.010540,1.000000,-0.060929,-0.037327
UncertaintyAnomaly,0.096245,0.008817,0.054671,-0.005908,-0.005908,0.000630,-0.006821,0.004134,-0.002531,-0.006200,0.063460,-0.040975,-0.060929,1.000000,0.017918
MahalanobisOOD,0.081170,0.019884,0.066622,-0.007862,-0.007862,0.007470,-0.005213,0.002230,-0.003131,-0.006497,0.007011,-0.030990,-0.037327,0.017918,1.000000
