agent,CRPS,NLL,IntervalScore,CalibrationError,KuleshovCalibration,ENCE,CalibrationError1Std,ConformalCoverage,PITUniformity,IntervalCoverage,VarianceAlignment,VarErrCorrelation,UncertaintyEvolution,UncertaintyAnomaly,MahalanobisOOD
CRPS,1.000000,0.324914,0.934990,0.183635,0.183635,0.278191,0.169206,0.255134,0.056123,0.169209,0.060943,-0.073756,-0.129258,0.046122,0.069957
NLL,0.324914,1.000000,0.402703,0.276206,0.276206,0.665938,0.254682,0.469915,0.046522,0.254691,0.006485,0.354749,0.011186,0.009824,0.004993
IntervalScore,0.934990,0.402703,1.000000,0.173507,0.173507,0.370671,0.158250,0.320231,0.053404,0.158253,0.081645,0.015510,-0.080686,0.054066,0.054276
CalibrationError,0.183635,0.276206,0.173507,1.000000,1.000000,0.306150,0.900867,0.115819,0.250708,0.900869,-0.022328,0.020291,0.071485,0.009537,-0.008006
KuleshovCalibration,0.183635,0.276206,0.173507,1.000000,1.000000,0.306150,0.900867,0.115819,0.250708,0.900869,-0.022328,0.020291,0.071485,0.009537,-0.008006
ENCE,0.278191,0.665938,0.370671,0.306150,0.306150,1.000000,0.285382,0.321896,0.060304,0.285389,0.025764,0.253013,0.030012,0.008952,-0.002194
CalibrationError1Std,0.169206,0.254682,0.158250,0.900867,0.900867,0.285382,1.000000,0.107784,0.251232,0.999994,-0.003254,0.057980,0.064523,0.010456,-0.010030
ConformalCoverage,0.255134,0.469915,0.320231,0.115819,0.115819,0.321896,0.107784,1.000000,0.033215,0.107784,-0.006592,0.171179,0.004630,0.013913,0.003583
PITUniformity,0.056123,0.046522,0.053404,0.250708,0.250708,0.060304,0.251232,0.033215,1.000000,0.251320,-0.026688,0.039472,0.024076,0.013172,-0.003043
IntervalCoverage,0.169209,0.254691,0.158253,0.900869,0.900869,0.285389,0.999994,0.107784,0.251320,1.000000,-0.003259,0.057997,0.064535,0.010456,-0.010030
VarianceAlignment,0.060943,0.006485,0.081645,-0.022328,-0.022328,0.025764,-0.003254,-0.006592,-0.026688,-0.003259,1.000000,0.011334,0.001921,-0.110970,0.005147
VarErrCorrelation,-0.073756,0.354749,0.015510,0.020291,0.020291,0.253013,0.057980,0.171179,0.039472,0.057997,0.011334,1.000000,0.010734,0.002832,-0.021821
UncertaintyEvolution,-0.129258,0.011186,-0.080686,0.071485,0.071485,0.030012,0.064523,0.004630,0.024076,0.064535,0.001921,0.010734,1.000000,-0.009174,-0.012317
UncertaintyAnomaly,0.046122,0.009824,0.054066,0.009537,0.009537,0.008952,0.010456,0.013913,0.013172,0.010456,-0.110970,0.002832,-0.009174,1.000000,-0.000179
MahalanobisOOD,0.069957,0.004993,0.054276,-0.008006,-0.008006,-0.002194,-0.010030,0.003583,-0.003043,-0.010030,0.005147,-0.021821,-0.012317,-0.000179,1.000000
